,PubChem_CID,SMILES,Predicted_Class,Predicted_Probability
0,12052874,C1CC2=C(C=C(C=C2)O)OC1C3=CC4=C(C=C3)OCO4,0,0.2305577168473253
1,44257169,COC1C(OC2=C(C1OC)C(=C(C3=C2C=CO3)OC)OC)C4=CC=CC=C4,0,0.25753545357982566
2,94156,C1CC2=CC=CC=C2OC1C3=CC=CC=C3,0,0.08322073396730241
3,3707243,C1C(C(OC2=CC=CC=C21)C3=CC=CC=C3)O,0,0.11792568193057448
4,1232440,C1CC2=CC=CC=C2O[C@H]1C3=CC=CC=C3,0,0.08322073396730241
5,6923726,CC(=O)O[C@@H]1C[C@@H](OC2=CC=CC=C12)C3=CC=CC=C3,0,0.07075563054322685
6,1232441,C1CC2=CC=CC=C2O[C@@H]1C3=CC=CC=C3,0,0.08322073396730241
7,439712,C1[C@H](OC2=CC=CC=C2C1O)C3=CC=CC=C3,0,0.08660358194172431
8,6923721,C1[C@@H](C2=CC=CC=C2O[C@H]1C3=CC=CC=C3)O,0,0.08660358194172431
9,6923725,CC(=O)O[C@H]1C[C@@H](OC2=CC=CC=C12)C3=CC=CC=C3,0,0.07075563054322685
10,9813808,C1C(C(OC2=CC=CC=C21)C3=CC(=C(C=C3)O)O)O,0,0.12151843522973803
11,14732294,COC1=CC2=C(CC(C(O2)C3=CC(=C(C=C3)O)O)O)C(=C1)OC,0,0.13779268312811055
12,13045799,CC(=O)OC1CC2=CC=CC=C2OC1C3=CC=CC=C3,0,0.049620094442173766
13,12360936,COC1=CC2=C(C=C1)[C@@H](C[C@H](O2)C3=CC=CC=C3)O,0,0.16267918782730237
14,22737159,C1C(C(OC2=CC=CC=C21)C3=CC=CC=C3)OC(=O)C4=CC(=C(C(=C4)O)O)O,0,0.07274274469198416
15,20452422,CN(C)C1=CC=C(C=C1)C2CCC3=CC=CC=C3O2,0,0.13255035772892912
16,54070148,C1CC2=CC=CC=C2OC1C3=CC=C(C=C3)OCCO,0,0.1689109994330653
17,25068463,COC1=C(C=C(C=C1)[C@@H]2C(=O)CC3=C(O2)C=C(C=C3OC)OC)OC,0,0.09013192230111494
18,57679080,C1CC2=CC=CC=C2OC1C3=CC(=C(C=C3)O)O,0,0.08269153628774854
19,53443847,COC1=CC(=C2CCC(OC2=C1)C3=CC=C(C=C3)O)O,0,0.1854155454495124
20,175639878,C1OC2C(OC3=C(C2O1)C=CC(=C3)O)C4=CC=CC=C4,0,0.16316856061504845
21,69234627,C1CC(OC2=CC=CC=C21)(C3=CC=CC=C3)OC4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,0,0.3150080659083262
22,74135948,CC(=CCC1=C2C(=C(C=C1OC)OC)C(CC(O2)C3=CC=CC=C3)OC)C,0,0.11543897621797404
23,74977227,COC1=C(C=C(C=C1)C2CCC3=C(C=C(C=C3O2)O)O)OC,0,0.324250054819048
24,67743168,C1=CC(=CC(=C1)O)C2C(C(C3=C(C=C(C=C3O2)O)O)O)O,0,0.15354403379804646
25,91579984,C1=CC=C(C=C1)C2C(C(C3=CC=CC=C3O2)O)(O)O,0,0.11499924663071275
26,156579903,C=CC1(CC2=CC=CC=C2OC1(C=C)C3=CC=CC=C3)O,0,0.3365143550340642
27,102285777,COC1=CC(=CC2=C1CCC(O2)C3=CC=C(C=C3)O)O,0,0.1746492594365002
28,101624373,COC1=CC2=C(C=C1)[C@H](C[C@@H](O2)C3=CC=CC=C3)O,0,0.16267918782730237
29,163184258,COC1=CC(=O)C(=CC1=O)C2(CCC3=CC(=C(C=C3O2)OC)OC)C4=CC=CC=C4,0,0.14730832888014656
30,129035976,C1[C@@H](C(OC2=CC=CC=C21)C3=CC=CC=C3)O,0,0.11792568193057448
